Distribution,Compile time buffer checks,Mandatory access control,Software executable space protection,grsecurity,RSBAC
Alpine Linux,Yes[216],Unknown,PaX,Discontinued in 3.8.0,Unknown
BLAG,Unknown,Unknown,Unknown,Unknown,Unknown
Debian/Ubuntu,Yes,"SELinux, AppArmor",PaX optional,Optional,Optional
Dragora GNU/Linux-Libre,Unknown,Unknown,Unknown,Unknown,Unknown
dyne:bolic,Unknown,Unknown,Unknown,Unknown,Unknown
Fedora,Yes,SELinux[217],Exec Shield[218],No,No
Gentoo,Optional,"SELinux, AppArmor",PaX optional,Optional,Optional
gNewSense,Unknown,"SELinux, AppArmor[v]",Unknown,Unknown,Unknown
Guix System,Unknown,Unknown,Unknown,Unknown,Unknown
LibreCMC,Unknown,Unknown,Unknown,Unknown,Unknown
Mandriva,Unknown,AppArmor,Unknown,Unknown,Yes
Musix GNU+Linux,Unknown,Unknown,Unknown,Unknown,Unknown
Parabola GNU/Linux-libre,Unknown,Optional[219],Unknown,Optional[219],Unknown
Slackware,Unknown,"AppArmor, tomoyo",Unknown,Unknown,Optional
SUSE Linux,Yes,AppArmor[220],Hardware NX and other methods in mainline kernel and toolchain[221],No,No
Solus,Yes,AppArmor,Unknown,No,Unknown
Trisquel,Unknown,"SELinux, AppArmor[w]",Unknown,Unknown,Unknown
Ututo,Unknown,Unknown,Unknown,Unknown,Unknown
