Name,Latest release,Active,Software license,Type,Windows,macOS,Linux,Textual editor?,Tree view editor?,Graphical editor?,WYSIWYG editor?,XML Schema editor?,Syntax highlighting,Tag folding,Autocomplete using schema,XPath search,XML diff/merge,Payment model,Full-featured free trial period
Adobe FrameMaker,2019,Yes,Proprietary,Standalone,Yes,No,No,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,,?,Yes
Altova XMLSpy,2020,Yes,Proprietary,"Standalone Eclipse Plugin, Visual Studio Plugin",Yes,No[1],No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,?,
BaseX,current,Yes,Open Source,Standalone,Yes,Yes,Yes[2],Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,via add-on module,N/A,N/A
CAM Editor,2015 (3.2.2),Yes,Open Source,Standalone,Yes,Yes,Yes,Yes,Yes,Yes,No,?,No,Yes,No,,,N/A,N/A
emacs/ nxml-mode,2019 (26.3),?,GNU GPL,Emacs mode,Yes,Yes,Yes,Yes,?,No,No,?,Yes,Yes,Yes,,,N/A,N/A
MadCap Flare,2019,Yes,Proprietary,Standalone,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Perpetual and Subscription,Yes
Liquid XML Studio,2020 (18.0.4),Yes,Proprietary,Standalone + Visual Studio Plugin,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes
Oxygen XML Editor,2020 (22.0),Yes,Proprietary,Standalone + Eclipse Plugin[3]Web-App,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,30 days
Quark Author Web Edition on Quark Publishing Platform,2014 (10.5),Yes,Proprietary,Web-App,Yes,Yes,Yes,No,Sections Only,Yes,Yes,?,No,No,No,,,?,N/A
Stylus Studio,2014 (X15 R2),Yes,Proprietary,Standalone,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,,Yes,?,Yes
Xeditor,April 2020 (6.4),Yes,Proprietary,Web-app,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Subscription,Yes
Xerlin,2005 (1.3),No,Open Source,Standalone,Yes,Yes,Yes,?,?,?,?,?,?,?,?,,,N/A,?
XMetaL,2018 (13.0),Yes,Proprietary,Standalone,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,?,Yes
XML Notepad,2020 (2.8.0.11),Yes,Microsoft Public License,Standalone,Yes,No,No,Yes,Yes,Yes,?,?,?,?,Yes,,,?,Yes
