Client,Written in,License,Access API,High availability,Shards,Efficient Redundancy,Redundancy Granularity,Initial release year,Memory requirements (GB)
Alluxio (Virtual Distributed File System),Java,Apache License 2.0,"HDFS, FUSE, HTTP/REST, S3",hot standby,No,Replication[1],File[2],2013,
Ceph,C++,LGPL,"librados (C, C++, Python, Ruby), S3, Swift, FUSE",Yes,Yes,Pluggable erasure codes[3],Pool[4],2010,1 per TB of storage
Coda,C,GPL,C,Yes,Yes,Replication,Volume[5],1987,
GlusterFS,C,GPLv3,"libglusterfs, FUSE, NFS, SMB, Swift, libgfapi",Yes,Yes,Reed-Solomon[6],Volume[7],2005,
MooseFS,C,GPLv2,"POSIX, FUSE",master,No,Replication[8],File[9],2008,
Quantcast File System,C,Apache License 2.0,"C++ client, FUSE (C++ server: MetaServer and ChunkServer are both in C++)",master,No,Reed-Solomon[10],File[11],2012,
IPFS,Go,Apache 2.0 or MIT,"HTTP gateway, FUSE, Go client, Javascript client, command line tool",Yes,with IPFS Cluster,Replication[12],Block[13],2015[14],
Kertish-DFS,Go,GPLv3,"HTTP(REST), CLI, C# Client, Go Client",Yes,,Replication,,2020,
LizardFS,C++,GPLv3,"POSIX, FUSE, NFS-Ganesha, Ceph FSAL (via libcephfs)",master,No,Reed-Solomon[15],File[16],2013,
Lustre,C,GPLv2,"POSIX, NFS-Ganesha, NFS, SMB",Yes,Yes,No redundancy[17],No redundancy[18],2003,
MinIO,Go,Apache Licence 2.0,AWS S3 API,Yes,Yes,Reed-Solomon[19],Object[20],2014,
OpenAFS,C,IBM Public License,"Virtual file system, Installable File System",,,Replication,Volume[21],2000 [22],
OpenIO[23],C,AGPLv3 / LGPLv3,"Native (Python, C, Java), HTTP/REST, S3, Swift, FUSE (POSIX, NFS, SMB, FTP)",Yes,,Pluggable erasure codes[24],Object[25],2015,0.5
RozoFS,"C, Python",GPLv2,"FUSE, SMB, NFS, key/value",Yes,,Mojette[26],Volume[27],2011[28],
SeaweedFS,"Go, Java",Apache License 2.0,"HTTP (REST), POSIX, FUSE, S3, HDFS","requires CockroachDB, undocumented config",,Reed-Solomon[29],Volume[30],2015,
Tahoe-LAFS,Python,GNU GPL [31],"HTTP (browser or CLI), SFTP, FTP, FUSE via SSHFS, pyfilesystem",,,Reed-Solomon[32],File[33],2007,
HDFS,Java,Apache License 2.0,"Java and C client, HTTP, FUSE[34]",transparent master failover,No,Reed-Solomon[35],File[36],2005,
XtreemFS,"Java, C++",BSD License,"libxtreemfs (Java, C++), FUSE",,,Replication[37],File[38],2009,
Ori[39],"C, C++",MIT,"libori, FUSE",,,Replication,Filesystem[40],2012,
