File system,Host OS,Offline grow,Online grow,Offline shrink,Online shrink,add and remove physical volumes
FAT16 / FAT16B / FAT16X,misc.,Yes[56],No,Yes[56],No,No
FAT32 / FAT32X,misc.,Yes[56],No,Yes[56],No,No
exFAT,misc.,No,No,No,No,No
NTFS,Windows,Yes,Yes,Yes,Yes,No
ReFS,Windows,?,Yes,?,No,No
HFS+,macOS,No,Yes,No,Yes,No
APFS,macOS,?,?,?,?,?
HFS+,Linux,No,No,No,No,No
SquashFS,Linux,No,No,No,No,No
NOVA,Linux,No,No,No,No,No
JFS[57],Linux,Yes,No,No,No,No
XFS[58],Linux,No,Yes,No,No,No
Lustre[59],Linux,?,Yes,No,No,Yes
F2FS[60],Linux,Yes,No,No,No,No
NTFS[61],Linux,Yes,No,Yes,No,No
ext2[62],Linux,Yes,No,Yes,No,No
ext3[62],Linux,Yes,Yes,Yes,No,No
ReiserFS[63],Linux,Yes,Yes,Yes,No,No
Reiser4[64],Linux,Yes,Yes,Yes,No,No
ext4[62],Linux,Yes,Yes,Yes,No,No
Btrfs[65],Linux,Yes,Yes,Yes,Yes,Yes
NILFS[66],Linux,No,Yes,No,Yes,No
ZFS,misc.,No,Yes,No,Partial[67],Yes
JFS2,AIX,?,Yes,?,Yes,No
UFS2[68],FreeBSD,Yes,Yes (FreeBSD 10.0-RELEASE or later),No,No,No
HAMMER,DragonflyBSD,?,?,?,?,?
