,HTML catalog,Meta tagging,RSS feeds,SEO URLs,"Site map, XML",GoodRelations RDFa
Apache OFBiz,Yes,Yes,No,Yes,Yes,No
Batavi,Yes,Yes,No,Yes,No,No
Bigcommerce,Yes,Yes,Yes,Yes,Yes,No
Drupal Commerce,Yes,Yes,Yes,Yes,Yes,Yes
KonaKart,Yes,Yes,Yes,Yes,No,No
Magento,Yes,Yes,Yes,Yes[33],Yes,No
nopCommerce,Yes,Yes,Yes,Yes,Yes,No
osCommerce,No,No,add-on,Yes,add-on,Yes
pimcore,Yes,Yes,Yes,Yes,Yes,Yes
PrestaShop,Yes,Yes,Yes,Yes,Yes,Yes
Shopify,Yes,Yes,Yes,Yes,Yes,No
SupaDupa,Yes,Yes,No,Yes,Yes,No
WooCommerce,Yes,Yes,Yes,Yes,Yes,Yes
Zen Cart,add-on,Yes,add-on[34],add-on,add-on,No
,HTML catalog,Meta tagging,RSS feeds,SEO URLs,"Site map, XML",GoodRelations RDFa
