,Union,Intersect,Except,Inner joins,Outer joins,Inner selects,Merge joins,Blobs and Clobs,Common Table Expressions,Windowing Functions,Parallel Query,System-versioned Tables
4th Dimension,Yes,Yes,Yes,Yes,Yes,No,No,Yes,?,?,?,?
ADABAS,Yes,?,?,?,?,?,?,?,?,?,?,?
Adaptive Server Enterprise,Yes,?,?,Yes,Yes,Yes,Yes,Yes,?,?,Yes,?
Advantage Database Server,Yes,No,No,Yes,Yes,Yes,Yes,Yes,?,No,?,?
Altibase,Yes,Yes,"Yes, via MINUS",Yes,Yes,Yes,Yes,Yes,No,No,No,?
Apache Derby,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,No,No,?,?
ClustrixDB,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,?
CUBRID,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes[80],?,?
DB2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes[117],Yes[118]
Empress Embedded Database,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,?,?,?
EXASolution,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,?
Firebird,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,?
HSQLDB,Yes,Yes,Yes,Yes,Yes,Yes,Yes[119],Yes,Yes,No,Yes[119],?
H2,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,experimental[120],Yes[121],?,?
Informix Dynamic Server,Yes,Yes,"Yes, via MINUS",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes[122],?
Ingres,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,?,?
InterBase,Yes,?,?,Yes,Yes,?,?,Yes,?,?,?,?
Linter SQL RDBMS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
LucidDB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,?,?,?,?
MariaDB,Yes,10.3+[123],10.3+[124],Yes,Yes,Yes,No,Yes,Yes[125],Yes[126],No[127],Yes[118]
MaxDB,Yes,?,?,Yes,Yes,Yes,No,Yes,?,?,?,?
Microsoft Access (JET),Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,?,?
Microsoft Visual Foxpro,Yes,?,?,Yes,Yes,Yes,?,Yes,?,?,?,?
Microsoft SQL Server,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes[128],Yes[129],Yes[118]
Microsoft SQL Server Compact (Embedded Database),Yes,No,No,Yes,Yes,?,No,Yes,No,No,?,?
Mimer SQL,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,No,No,?
MonetDB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
MySQL,Yes,No,No,Yes,Yes,Yes,No,Yes,8+[130],No,No[127],No[118]
OpenBase SQL,No,No,No,Yes,Yes,Yes,Yes,Yes,?,?,?,?
OpenLink Virtuoso,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,?,?,Yes,?
Oracle,Yes,Yes,"Yes, via MINUS",Yes,Yes,Yes,Yes,Yes,Yes 1,Yes,Yes[131],No[118]
Oracle Rdb,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,?,?,?
Pervasive PSQL,Yes,No,No,Yes,Yes,?,?,Yes,No,No,No,?
Polyhedra DBMS,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,?
PostgreSQL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes[132],No[118]
Raima Database Manager,No,No,No,Yes,Yes,No,No,Yes,No,No,No,?
RDM Server,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,?
SAP HANA,?,?,?,?,?,?,?,?,?,?,?,?
solidDB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,?
SQL Anywhere,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?
SQLite,Yes,Yes,Yes,Yes,LEFT only,Yes,No,Yes,3.8.3+[133],3.25+[134],No,No[118]
SQream DB,ALL only,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,?
Teradata,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?
UniVerse,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,?,?
,Union,Intersect,Except,Inner joins,Outer joins,Inner selects,Merge joins,Blobs and Clobs,Common Table Expressions,Windowing Functions,Parallel Query,System-versioned Tables
